Book, Author, Length, Status
Animal Farm, George Orwell, 29k words, Read
Notes from the Underground, Fyodor Dostoevsky, 38k words, Read
Fahrenheit 451, Ray Bradbury, 46k words, 
The Great Gatsby, F. Scott Fitzgerald, 47k words, Read
Slaughterhouse-Five, Kurt Vonnegut, 49k words, Read
To the Lighthouse, Virginia Woolf, 57k words,
Lord of the Flies, William Golding, 59k words, Read
All Quiet on the Western Front, Erich Remarque, 61k words, 
Mrs. Dalloway, Virginia Woolf , 63k words, 
Brave New World, Aldous Huxley, 66k words,
Treasure Island, Robert Louis Stevenson, 66k words, 
The Sun Also Rises, Ernest Hemingway, 67k words,
The Adventures of Tom Sawyer, Mark Twain, 69k words, Reading
The Catcher in the Rye, J. D. Salinger, 73k words, Read
Frankenstein, Mary Shelley, 76k words, Reading
Northanger Abbey, Jane Austen, 77k words, 
The Picture of Dorian Gray, Oscar Wilde, 78k words,
Persuasion, Jane Austen, 87k words,
Nineteen Eighty-Four, George Orwell, 88k words, Read
Women in Love, D. H. Lawrence, 94k words, 
The Hobbit, J. R. R. Tolkien, 95k words, Read
To Kill A Mockingbird, Harper Lee, 100k words, Read
Gullivers Travels, Jonathan Swift, 107k words, 
Wuthering Heights, Emily Bronte, 107k words, 
The Adventures of Huckleberry Finn, Mark Twain, 109k words, 
Sense and Sensibility, Jane Austen, 119k words,
Pride and Prejudice, Jane Austen, 122k words,
A Tale of Two Cities, Charles Dickens, 135k words,
One Hundred Years of Solitude, Gabriel Garcia Marquez, 144k words,
Oliver Twist, Charles Dickens, 155k words,
Mansfield Park, Jane Austen, 160k words,
Emma, Jane Austen, 161 words,
The Grapes of Wrath, John Steinback, 169k words,
Catch-22, Joseph Heller, 174k words, Read
Great Expectations, Charles Dickens, 183k words,
Little Women, Louisa May Alcott, 183k words,
Jane Eyre, Charlotte Brontë, 183k words, Reading
The Idiot, Fyodor Dostoevsky, 200k words, Reading
Moby-Dick, Herman Melville, 206k words,
Crime and Punishment, Fyodor Dostoevsky, 211k words, Read
Demons (The Possessed), Fyodor Dostoevsky, 220k words, 
Ulysses, James Joyce, 265k words, 
Middlemarch, George Eliot, 316k words,
Anna Karenina, Leo Tolstoy, 349k words, Read
David Copperfield, Charles Dickens, 360k words, Read
The Brothers Karamazov, Fyodor Dostoyevsky, 364k words, Read
Gone with the Wind, Margaret Mitchell, 418k words, 
The Count of Monte Cristo, Alexandre Dumas, 460k words, Reading
Les Miserables, Victor Hugo, 550k words,
Atlas Shrugged, Ayn Rand, 561k words, 
War and Peace, Leo Tolstoy, 587k words,
In Search of Lost Time, Marcel Proust, 1267k words, Reading
